iso_code,population_density,median_age,aged_65_older,aged_70_older,mortality_rate,human_development_index
PYF,77.324,32.7,7.775,4.593,,
NOR,14.462,39.7,16.821,10.813,,0.957
LSO,73.562,22.2,4.506,2.647,,0.527
SOM,23.5,16.8,2.731,1.496,,
MNE,46.28,39.1,14.762,9.395,,0.829
PCN,,,,,,
MCO,19347.5,,,,,
DMA,98.567,,,,,0.742
POL,124.027,41.8,16.763,10.202,,0.88
ARG,16.177,31.9,11.198,7.441,,0.845
PHL,351.873,25.2,4.803,2.661,,0.718
KAZ,6.681,30.6,6.991,4.625,,0.825
KNA,212.865,,,,,0.779
NIU,,,,,,
FLK,,,,,,
SGP,7915.731,42.4,12.922,7.049,,0.938
GTM,157.834,22.9,4.694,3.016,,0.663
GRL,0.137,,,,,
AZE,119.309,32.4,6.018,3.871,,0.756
AUS,3.202,37.9,15.504,10.129,,0.944
THA,135.132,40.1,11.373,6.89,,0.777
SVN,102.619,44.5,19.062,12.93,,0.917
TCA,37.312,,,,,
VUT,22.662,23.1,4.394,2.62,,0.609
FIN,18.136,42.8,21.228,13.264,,0.938
DNK,136.52,42.3,19.677,12.325,,0.94
YEM,53.508,20.3,2.922,1.583,,0.47
HUN,108.043,43.4,18.577,11.976,,0.854
LUX,231.447,39.7,14.312,9.842,,0.916
CHN,147.674,38.7,10.641,5.929,,0.761
AND,163.755,,,,,0.868
BGD,1265.036,27.5,5.098,3.262,,0.632
MUS,622.962,37.4,10.945,5.884,,0.804
COL,44.223,32.2,7.646,4.312,,0.767
SXM,1209.088,,,,,
UGA,213.759,16.4,2.168,1.308,,0.544
NER,16.955,15.1,2.553,1.378,,0.394
PSE,778.202,20.4,3.043,1.726,,0.708
KEN,87.324,20,2.686,1.528,,0.601
CYM,256.496,,,,,
BEN,99.11,18.8,3.244,1.942,,0.545
TGO,143.366,19.4,2.839,1.525,,0.515
BOL,10.202,25.4,6.704,4.393,,0.718
BMU,1308.82,,,,,
HKG,7039.714,44.8,16.303,10.158,,0.949
HRV,73.726,44,19.724,13.053,,0.851
ROU,85.129,43,17.85,11.69,,0.828
VAT,,,,,,
QAT,227.322,31.9,1.307,0.617,,0.848
MDA,123.655,37.6,10.864,6.955,,0.75
LVA,31.212,43.9,19.754,14.136,,0.866
SMR,556.667,,,,,
PRY,17.144,26.5,6.378,3.833,,0.728
BGR,65.18,44.7,20.801,13.272,,0.816
BLR,46.858,40.3,14.799,9.788,,0.823
SEN,82.328,18.7,3.008,1.796,,0.512
BWA,4.044,25.8,3.941,2.242,,0.735
ISL,3.404,37.3,14.431,9.207,,0.949
ZAF,46.754,27.3,5.344,3.053,,0.709
MRT,4.289,20.3,3.138,1.792,,0.546
ECU,66.939,28.1,7.104,4.458,,0.759
NRU,682.45,,,,,
SWZ,79.492,21.5,3.163,1.845,,0.611
VCT,281.787,31.8,7.724,4.832,,0.738
SSD,,19.2,3.441,2.032,,0.433
MKD,82.6,39.1,13.26,8.16,,0.774
LTU,45.135,43.5,19.002,13.778,,0.882
JOR,109.285,23.2,3.81,2.361,,0.729
KWT,232.128,33.7,2.345,1.114,,0.806
MOZ,37.728,17.7,3.158,1.87,,0.456
LIE,237.012,,,,,0.919
DZA,17.348,29.1,6.211,3.857,,0.748
BHS,39.497,34.3,8.996,5.2,,0.814
ABW,584.8,41.2,13.085,7.452,,
COK,,,,,,
AIA,,,,,,
MAR,80.08,29.6,6.769,4.209,,0.686
TON,150.028,22.3,5.82,4.032,,0.725
BLZ,16.426,25,3.853,2.279,,0.716
MNG,1.98,28.6,4.031,2.421,,0.737
ARE,112.442,34,1.144,0.526,,0.89
BES,,,,,,
AFG,54.422,18.6,2.581,1.337,,0.511
NLD,508.544,43.2,18.779,11.881,,0.944
ERI,44.304,19.3,3.607,2.171,,0.459
SHN,,,,,,
FRA,122.578,42,19.718,13.079,,0.901
VEN,36.253,29,6.614,3.915,,0.711
HND,82.805,24.9,4.652,2.883,,0.634
SYR,,21.7,,2.577,,0.567
BRN,81.347,32.4,4.591,2.382,,0.838
NAM,3.078,22,3.552,2.085,,0.646
BFA,70.151,17.6,2.409,1.358,,0.452
MLT,1454.037,42.4,19.426,11.324,,0.895
ZWE,42.729,19.6,2.822,1.882,,0.571
OWID_CYN,,,,,,
ARM,102.931,35.7,11.232,7.571,,0.776
KHM,90.672,25.6,4.412,2.385,,0.594
JPN,347.778,48.2,27.049,18.493,,0.919
BRB,664.463,39.8,14.952,9.473,,0.814
MHL,295.15,,,,,0.704
TUN,74.228,32.7,8.001,5.075,,0.74
SDN,23.258,19.7,3.548,2.034,,0.51
GEO,65.032,38.7,14.864,10.244,,0.812
CYP,127.657,37.3,13.416,8.563,,0.887
GGY,,,,,,
CIV,76.399,18.7,2.933,1.582,,0.538
GIB,3457.1,,,,,
OMN,14.98,30.7,2.355,1.53,,0.813
JAM,266.879,31.4,9.684,6.39,,0.734
IDN,145.725,29.3,5.319,3.053,,0.718
CHE,214.243,43.1,18.436,12.644,,0.955
MMR,81.721,29.1,5.732,3.12,,0.583
WSM,69.413,22,5.606,3.564,,0.715
BTN,21.188,28.6,4.885,2.977,,0.654
ZMB,22.995,17.7,2.48,1.542,,0.584
SWE,24.718,41,19.985,13.433,,0.945
MWI,197.519,18.1,2.979,1.783,,0.483
TWN,,42.2,,8.353,,
TZA,64.699,17.7,3.108,1.874,,0.529
TUV,373.067,,,,,
NPL,204.43,25,5.809,3.212,,0.602
UKR,77.39,41.4,16.462,11.133,,0.779
VNM,308.127,32.6,7.15,4.718,,0.704
WLF,,,,,,
BEL,375.564,41.8,18.571,12.849,,0.931
MDG,43.951,19.6,2.929,1.686,,0.528
SAU,15.322,31.9,3.295,1.845,,0.854
IND,450.419,28.2,5.989,3.414,,0.645
STP,212.841,18.7,2.886,2.162,,0.625
PNG,18.22,22.6,3.808,2.142,,0.555
GRD,317.132,29.4,7.304,5.021,,0.779
KIR,143.701,23.2,3.895,2.21,,0.63
MDV,1454.433,30.6,4.12,2.875,,0.74
TKM,12.253,26.9,4.277,2.541,,0.715
OWID_KOS,168.155,,,,,
BRA,25.04,33.5,8.552,5.06,,0.765
IMN,147.872,,,,,
TJK,64.281,23.3,3.466,2.155,,0.668
FJI,49.562,28.6,6.224,3.284,,0.743
FRO,35.308,,,,,
GRC,83.479,45.3,20.396,14.524,,0.888
SRB,80.291,41.2,17.366,,,0.806
FSM,150.777,23,4.81,2.392,,0.62
AGO,23.89,16.8,2.405,1.362,,0.581
TKL,,,,,,
TTO,266.886,36.2,10.014,5.819,,0.796
TLS,87.176,18,3.556,1.897,,0.606
NZL,18.206,37.9,15.322,9.72,,0.931
GUY,3.952,26.3,5.305,2.837,,0.682
GAB,7.859,23.1,4.45,2.976,,0.703
SLB,21.841,20.8,3.507,2.043,,0.567
UZB,76.134,28.2,4.469,2.873,,0.72
EST,31.033,42.7,19.452,13.491,,0.892
PLW,47.237,,,,,0.826
GMB,207.566,17.5,2.339,1.417,,0.496
CZE,137.176,43.3,19.027,11.58,,0.9
CAF,7.479,18.3,3.655,2.251,,0.397
MSR,,,,,,
NGA,209.588,18.1,2.751,1.447,,0.539
LKA,341.955,34.1,10.069,5.331,,0.782
GNQ,45.194,22.4,2.846,1.752,,0.592
AUT,106.749,44.4,19.202,13.748,,0.922
NIC,51.667,27.3,5.445,3.519,,0.66
HTI,398.448,24.3,4.8,2.954,,0.51
JEY,,,,,,
ESP,93.105,45.5,19.436,13.799,,0.904
CMR,50.885,18.8,3.165,1.919,,0.563
DEU,237.016,46.6,21.453,15.957,,0.947
IRN,49.831,32.4,5.44,3.182,,0.783
CPV,135.58,25.7,4.46,3.437,,0.665
LAO,29.715,24.4,4.029,2.322,,0.613
GNB,66.191,19.4,3.002,1.565,,0.48
KOR,527.967,43.4,13.914,8.622,,0.916
GHA,126.719,21.1,3.385,1.948,,0.611
TCD,11.833,16.7,2.486,1.446,,0.398
MLI,15.196,16.4,2.519,1.486,,0.434
RUS,8.823,39.6,14.178,9.393,,0.824
CRI,96.079,33.6,9.468,5.694,,0.81
SLV,307.811,27.6,8.273,5.417,,0.673
PAK,255.573,23.5,4.495,2.78,,0.557
GIN,51.755,19,3.135,1.733,,0.477
PER,25.129,29.1,7.151,4.455,,0.777
ISR,402.606,30.6,11.733,7.359,,0.919
GBR,272.898,40.8,18.517,12.527,,0.932
BDI,423.062,17.5,2.562,1.504,,0.433
EGY,97.999,25.3,5.159,2.891,,0.707
CUB,110.408,43.1,14.738,9.719,,0.783
IRL,69.874,38.7,13.928,8.678,,0.955
CUW,362.644,41.7,16.367,10.068,,
BIH,68.496,42.5,16.569,10.711,,0.78
VGB,207.973,,,,,
LBN,594.561,31.1,8.514,5.43,,0.744
SLE,104.7,19.1,2.538,1.285,,0.452
MEX,66.444,29.3,6.857,4.321,,0.779
KGZ,32.333,26.3,4.489,2.882,,0.697
COD,35.879,17,3.02,1.745,,0.48
USA,35.608,38.3,15.413,9.732,,0.926
PAN,55.133,29.7,7.918,5.03,,0.815
DOM,222.873,27.6,6.981,4.419,,0.756
IRQ,88.125,20,3.186,1.957,,0.674
NCL,15.342,33.4,9.954,6.489,,
TUR,104.914,31.6,8.153,5.061,,0.82
COG,15.405,19,3.402,2.063,,0.574
URY,19.751,35.6,14.655,10.361,,0.817
PRT,112.371,46.2,21.502,14.924,,0.864
SVK,113.128,41.2,15.07,9.167,,0.86
RWA,494.869,20.3,2.974,1.642,,0.543
SUR,3.612,29.6,6.933,4.229,,0.738
MYS,96.254,29.9,6.293,3.407,,0.81
SYC,208.354,36.2,8.606,5.586,,0.796
LBR,49.127,19.2,3.057,1.756,,0.48
CAN,4.037,41.4,16.984,10.797,,0.929
DJI,41.285,25.4,4.213,2.38,,0.524
ALB,104.871,38,13.188,8.643,,0.795
ATG,231.845,32.1,6.933,4.631,,0.778
MAC,20546.766,39.2,9.798,4.991,,
BHR,1935.907,32.4,2.372,1.387,,0.852
ITA,205.859,47.9,23.021,16.24,,0.892
LBY,3.623,29,4.424,2.816,,0.724
LCA,293.187,34.9,9.721,6.405,,0.759
CHL,24.282,35.4,11.087,6.938,,0.851
COM,437.352,20.4,2.963,1.726,,0.554
ETH,104.957,19.8,3.526,2.063,,0.485
