iso_code,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,female_smokers,male_smokers,handwashing_facilities
BFA,269.048,2.42,0.4,61.58,1.6,23.9,11.877
TTO,228.467,10.97,3,73.51,,,89.443
JAM,206.537,11.28,1.7,74.47,5.3,28.6,66.425
SDN,431.388,15.67,0.8,65.31,,,23.437
TON,227.49,15.42,2.6,70.91,11.8,44.4,
WSM,348.977,9.21,,73.32,16.7,38.1,
DJI,258.037,6.05,1.4,67.11,1.7,24.5,
VEN,204.85,6.47,0.8,72.06,,,
DOM,266.653,8.2,1.6,74.08,8.5,19.1,55.182
MMR,202.104,4.61,0.9,67.13,6.3,35.2,79.287
PAN,128.346,8.33,2.3,78.51,2.4,9.9,
ITA,113.151,4.78,3.18,83.51,19.8,27.8,
KNA,,12.84,2.3,76.23,,,
VUT,546.3,12.02,,70.47,2.8,34.5,25.209
MYS,260.942,16.74,1.9,76.16,1,42.4,
CYM,,13.22,,83.92,,,
SLE,325.721,2.42,,54.7,8.8,41.3,19.275
SSD,280.775,10.43,,57.85,,,
GTM,155.898,10.18,0.6,74.3,,,76.665
CMR,244.661,7.2,1.3,59.29,,,2.735
KAZ,466.792,7.11,6.7,73.6,7,43.1,98.999
PER,85.755,5.95,1.6,76.74,4.8,,
NOR,114.316,5.31,3.6,82.4,19.6,20.7,
AUT,145.183,6.35,7.37,81.54,28.4,30.9,
KIR,434.657,22.66,1.9,68.37,35.9,58.9,
LVA,350.06,4.91,5.57,75.29,25.6,51,
LBN,266.591,12.71,2.9,78.93,26.9,40.7,
IRN,270.308,9.59,1.5,76.68,0.8,21.1,
RWA,191.375,4.28,,69.02,4.7,21,4.617
BEN,235.848,0.99,0.5,61.77,0.6,12.3,11.035
POL,227.331,5.91,6.62,78.73,23.3,33.1,
DNK,114.767,6.41,2.5,80.9,19.3,18.8,
QAT,176.69,16.52,1.2,80.23,0.8,26.9,
UKR,539.849,7.11,8.8,72.06,13.5,47.4,
SGP,92.243,10.99,2.4,83.62,5.2,28.3,
CZE,227.485,6.82,6.63,79.38,30.5,38.3,
BOL,204.299,6.89,1.1,71.51,,,25.383
MLI,268.024,2.42,0.1,59.31,1.6,23,52.232
IRQ,218.612,8.83,1.4,70.6,,,94.576
SWE,133.982,4.79,2.22,82.8,18.8,18.9,
SWZ,333.436,3.94,2.1,60.19,1.7,16.5,24.097
ETH,182.634,7.47,0.3,66.6,0.4,8.5,7.96
SMR,,5.64,3.8,84.97,,,
EGY,525.432,17.31,1.6,71.99,0.2,50.1,89.827
LSO,405.126,3.94,,54.33,0.4,53.9,2.117
MEX,152.783,13.06,1.38,75.05,6.9,21.4,87.847
SUR,258.314,12.54,3.1,71.68,7.4,42.9,67.779
USA,151.089,10.79,2.77,78.86,19.1,24.6,
ARG,191.032,5.5,5,76.67,16.2,27.7,
CYP,141.171,9.24,3.4,80.98,19.6,52.7,
BGD,298.003,8.38,0.8,72.59,1,44.7,34.808
SVK,287.959,7.29,5.82,77.54,23.1,37.7,
FRA,86.06,4.77,5.98,82.66,30.1,35.6,
ATG,191.511,13.17,3.8,77.02,,,
SLB,459.78,18.68,1.4,73,,,35.89
MOZ,329.942,3.3,0.7,60.85,5.1,29.1,12.227
HKG,,8.33,,84.86,,,
IRL,126.459,3.28,2.96,82.3,23,25.7,
KWT,132.235,15.84,2,75.49,2.7,37,
COD,318.949,6.1,,60.68,,,4.472
YEM,495.003,5.35,0.7,66.12,7.6,29.2,49.542
TJK,427.698,7.11,4.8,71.1,,,72.704
VCT,252.675,11.62,2.6,72.53,,,
SYC,242.648,10.55,3.6,73.4,7.1,35.7,
UGA,213.333,2.5,0.5,63.37,3.4,16.7,21.222
GUY,373.159,11.62,1.6,69.91,,,77.159
GHA,298.245,4.97,0.9,64.07,0.3,7.7,41.047
TUV,,27.25,,67.57,,,
SLV,167.295,8.87,1.3,73.32,2.5,18.8,90.65
BMU,139.547,13,,82.59,,,
CRI,137.973,8.78,1.13,80.28,6.4,17.4,83.841
LBR,272.509,2.42,0.8,64.1,1.5,18.1,1.188
BEL,114.898,4.29,5.64,81.63,25.1,31.4,
MLT,168.711,8.83,4.485,82.53,20.9,30.2,
TCD,280.995,6.1,,54.24,,,5.818
AFG,597.029,9.59,0.5,64.83,,,37.746
IND,282.28,10.39,0.53,69.66,1.9,20.6,59.55
PLW,,15.89,4.8,73.7,7.7,22.7,
GIN,336.717,2.42,0.3,61.6,,,17.45
GEO,496.218,7.11,2.6,73.77,5.3,55.5,
KOR,85.998,6.8,12.27,83.03,6.2,40.9,
CHN,261.899,9.74,4.34,76.91,1.9,48.4,
HUN,278.296,7.55,7.02,76.88,26.8,34.8,
CPV,182.219,2.42,2.1,72.98,2.1,16.5,
DEU,156.139,8.31,8,81.33,28.2,33.1,
ECU,140.448,5.55,1.5,77.01,2,12.3,80.635
TGO,280.033,6.15,0.7,61.04,0.9,14.2,10.475
CAN,105.599,7.37,2.5,82.43,12,16.6,
NLD,109.361,5.29,3.32,82.28,24.4,27.3,
OWID_KOS,,,,,,,
MNG,460.043,4.82,7,69.87,5.5,46.5,71.18
RUS,431.297,6.18,8.05,72.58,23.4,58.3,
THA,109.861,7.04,2.1,77.15,1.9,38.8,90.67
ZMB,234.499,3.94,2,63.89,3.1,24.7,13.938
URY,160.708,6.93,2.8,77.91,14,19.9,
ROU,370.946,9.74,6.892,76.05,22.9,37.1,
KEN,218.637,2.92,1.4,66.7,1.2,20.4,24.651
MDG,405.994,3.94,0.2,67.04,,,50.54
PRT,127.842,9.85,3.39,82.05,16.3,30,
MHL,557.793,30.53,2.7,73.7,,,82.502
COG,344.094,7.2,,64.57,1.7,52.3,47.964
AUS,107.791,5.07,3.84,83.44,13,16.5,
SRB,439.415,10.08,5.609,76,37.7,40.2,97.719
BLZ,176.957,17.11,1.3,74.62,,,90.083
NZL,128.797,8.08,2.61,82.29,14.8,17.2,
HTI,430.548,6.65,0.7,64,2.9,23.1,22.863
PHL,370.437,7.07,1,71.23,7.8,40.8,78.463
MAC,,,,84.24,,,
GRD,243.964,10.71,3.7,72.4,,,
LUX,128.275,4.42,4.51,82.25,20.9,26,
BRN,201.285,12.79,2.7,75.86,2,30.9,
DMA,227.376,11.62,3.8,75,,,
GMB,331.43,1.91,1.1,62.05,0.7,31.2,7.876
NRU,,24.07,5,59.96,43,36.9,
BHS,235.954,13.17,2.9,73.92,3.1,20.4,
NAM,243.811,3.94,,63.71,9.7,34.2,44.6
EST,255.569,4.02,4.69,78.74,24.5,39.3,
PRY,199.128,8.27,1.3,74.25,5,21.6,79.602
LAO,368.111,4,1.5,67.92,7.3,51.2,49.839
TZA,217.288,5.75,0.7,65.46,3.3,26.7,47.953
HRV,253.782,5.59,5.54,78.49,34.3,39.9,
AGO,276.045,3.94,,61.15,,,26.664
OMN,266.342,12.61,1.6,77.86,0.5,15.6,97.4
SVN,153.493,7.25,4.5,81.32,20.1,25,
NER,238.339,2.42,0.3,62.42,0.1,15.4,8.978
SEN,241.219,2.42,,67.94,0.4,16.6,20.859
PAK,423.031,8.35,0.6,67.27,2.8,36.7,59.607
ISR,93.32,6.74,2.99,82.97,15.4,35.4,
CHL,127.993,8.46,2.11,80.18,34.2,41.5,
COM,261.516,11.88,2.2,64.32,4.4,23.6,15.574
CAF,435.727,6.1,1,53.28,,,16.603
TUN,318.991,8.52,2.3,76.7,1.1,65.8,78.687
KHM,270.892,4,0.8,69.82,2,33.7,66.229
PNG,561.494,17.65,,64.5,23.5,48.8,
ALB,304.195,10.08,2.89,78.57,7.1,51.2,
BDI,293.068,6.05,0.8,61.58,,,6.144
LTU,342.989,3.67,6.56,75.93,21.3,38,
GNB,382.474,2.42,,58.32,,,6.403
JOR,208.257,11.75,1.4,74.53,,,
MKD,322.688,10.08,4.28,75.8,,,
AZE,559.812,7.11,4.7,73,0.3,42.5,83.241
BLR,443.129,5.18,11,74.79,10.5,46.1,
ESP,99.403,7.17,2.97,83.56,27.4,31.4,
MUS,224.644,22.02,3.4,74.99,3.2,40.7,
TKM,536.783,7.11,7.4,68.19,,,100
JPN,79.37,5.72,13.05,84.63,11.2,33.7,
ZWE,307.846,1.82,1.7,61.49,1.6,30.7,36.791
FSM,454.343,12.02,,67.88,,,
SXM,,,,78.95,,,
NPL,260.797,7.26,0.3,70.78,9.5,37.8,47.782
HND,240.208,7.21,0.7,75.27,2,,84.169
MWI,227.349,3.94,1.3,64.26,4.4,24.7,8.704
FJI,412.82,14.49,2.3,67.44,10.2,34.8,
BGR,424.688,5.81,7.454,75.05,30.1,44.4,
ARM,341.01,7.11,4.2,75.09,1.5,52.1,94.043
ARE,317.84,17.26,1.2,77.97,1.2,37.4,
LBY,341.862,10.43,3.7,72.91,,,
BTN,217.066,9.75,1.7,71.78,,,79.807
CHE,99.739,5.59,4.53,83.78,22.6,28.9,
LCA,204.62,11.62,1.3,76.2,,,87.202
GBR,122.137,4.28,2.54,81.32,20,24.7,
VNM,245.465,6,2.6,75.4,1,45.9,85.847
MAR,419.146,7.14,1.1,76.68,0.8,47.1,
GAB,259.967,7.2,6.3,66.47,,,
MDA,408.502,5.72,5.8,71.9,5.9,44.6,86.979
GNQ,202.812,7.78,2.1,58.74,,,24.64
MDV,164.905,9.19,,78.92,2.1,55,95.803
STP,270.113,2.42,2.9,70.39,,,41.34
DZA,278.364,6.73,1.9,76.88,0.7,30.4,83.741
KGZ,436.362,7.11,4.5,71.45,3.6,50.5,89.22
TUR,171.285,12.13,2.81,77.69,14.1,41.1,
MNE,387.305,10.08,3.861,76.88,44,47.9,
IDN,342.864,6.32,1.04,71.72,2.8,76.1,64.204
PSE,265.91,10.59,,74.05,,,
BWA,237.372,4.81,1.8,69.59,5.7,34.4,
BRB,170.05,13.57,5.8,79.19,1.9,14.5,88.469
ERI,311.11,6.05,0.7,66.32,0.2,11.4,
ZAF,200.38,5.52,2.32,64.13,8.1,33.2,43.993
LKA,197.093,10.68,3.6,76.98,0.3,27,
ABW,,11.62,,76.29,,,
NGA,181.013,2.42,,54.69,0.6,10.8,41.949
NIC,137.016,11.47,0.9,74.48,,,
COL,124.24,7.44,1.71,77.29,4.7,13.5,65.386
TLS,335.346,6.86,5.9,69.5,6.3,78.1,28.178
FIN,153.507,5.76,3.28,81.91,18.3,22.6,
SAU,259.538,17.72,2.7,75.13,1.8,25.4,
CIV,303.74,2.42,,57.78,,,19.351
BRA,177.961,8.11,2.2,75.88,10.1,17.9,
ISL,117.992,5.31,2.91,82.99,14.3,15.2,
BHR,151.689,16.52,2,77.29,5.8,37.6,
UZB,724.417,7.57,4,71.72,1.3,24.7,
BIH,329.635,10.08,3.5,77.4,30.2,47.7,97.164
MRT,232.347,2.42,,64.92,,,15.95
GRC,175.695,4.55,4.21,82.24,35.3,52,
